District,Latitude,Longitude
Manda ,24.756593,88.7494
Niamatpur ,24.833623,88.569819
Atrai ,24.592473,89.037048
Raninagar ,24.728486,88.95575
Patnitala ,25.064922,88.730153
Dhamoirhat ,25.150396,88.851503
Sapahar ,25.134111,88.517852
Porsha ,25.015333,88.498499
Badalgachhi ,24.968485,88.910249
Natore Sadar ,24.402158,88.99881
Baraigram ,24.284137,24.284137
Bagatipara ,24.302402,88.964126
Lalpur ,24.211746,88.960536
Baraigram ,24.2841,89.1325
Bholahat ,24.916999,88.187668
Gomastapur ,24.871768,88.382199
Nachole ,24.73266,88.413728
Nawabganj Sadar ,24.585601,88.265584
Shibganj ,24.683748,88.157193
Atgharia ,24.118212,89.227703
Bera ,24.076563,89.61457
Bhangura ,24.249792,89.407997
Chatmohar ,24.21369,89.303715
Faridpur ,23.542392,89.630892
Ishwardi ,24.070032,89.113417
Pabna Sadar ,24.023264,89.265727
Santhia ,24.071871,89.53089
Sujanagar ,23.942153,89.421014
Bagha,24.210922,88.845504
Bagmara,24.590836,88.807089
Charghat,24.278531,88.751805
Durgapur,24.447993,88.768638
Godagari,24.468738,88.440388
Mohanpur,24.544858,88.636196
Paba,24.435048,88.643431
Puthia,24.401072,88.845504
Tanore,24.635966,88.537196
Sirajganj Sadar ,24.50017,89.681621
Belkuchi ,24.310114,89.719213
Chauhali ,24.072394,89.756769
Kamarkhanda ,24.393171,89.653403
Kazipur ,24.690208,89.681621
Raiganj ,24.499779,89.53089
Shahjadpur ,24.19094,89.587482
Tarash ,24.430891,89.372477
Ullahpara ,24.357192,89.53089
Birampur ,25.389946,88.991636
Birganj,25.893448,88.672358
Biral ,25.631868,88.537196
Bochaganj ,25.799722,88.462189
Chirirbandar ,25.650337,88.777052
Phulbari ,25.445444,88.883883
Ghoraghat ,25.30525,89.189643
Hakimpur ,25.292669,89.065703
Kaharole ,25.821574,88.575857
Khansama ,25.87064,88.768638
Dinajpur Sadar ,25.585624,88.653075
Nawabganj,24.741311,88.291207
Parbatipur ,25.65439,88.916239
Fulchhari,25.259624,89.643992
Gaibandha sadar,25.354243,89.568627
Gobindaganj,25.140418,89.436391
Palashbari,25.270647,89.389057
Sadullapur,25.390939,89.465946
Saghata,25.123111,89.582769
Sundarganj,25.564362,89.51909
Kurigram Sadar,25.810346,89.648698
Nageshwari,25.970247,89.756769
Bhurungamari,26.111958,89.681621
Phulbari,25.445444,88.883883
Rajarhat,25.780435,89.53089
Ulipur,25.65642,89.620456
Chilmari,25.581041,89.661635
Rowmari,25.591696,89.831773
Char Rajibpur,25.461324,89.766153
Lalmanirhat Sadar,25.874819,89.455309
Aditmari,25.921826,89.379583
Kaliganj,25.968598,89.265727
Hatibandha,26.142222,89.13487
Patgram,26.356951,89.008373
Nilphamari Sadar,25.989363,88.826301
Saidpur,25.782954,88.898267
Jaldhaka,26.019664,89.016591
Kishoreganj,25.920213,89.07525
Domar,26.154662,88.807089
Dimla,26.17961,88.979678
